time_s,voltage_v,current_a,temperature_c,soc_pct,dt_s,temperature_k,soc
-166.7,-0.048,-0.077,0.0,51.5,0.10000000000002274,273.15,0.515
-166.6,-0.054,-0.08,0.0,51.5,0.09999999999999432,273.15,0.515
-166.5,-0.055,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-166.4,-0.05,-0.074,0.0,51.5,0.09999999999999432,273.15,0.515
-166.3,-0.085,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-166.2,-0.084,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-166.1,-0.043,-0.071,0.0,51.5,0.09999999999999432,273.15,0.515
-166.0,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.9,-0.056,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-165.8,-0.085,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.7,-0.054,-0.071,0.0,51.5,0.10000000000002274,273.15,0.515
-165.6,-0.086,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-165.5,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.4,-0.087,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.3,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.2,-0.083,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-165.1,-0.083,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-165.0,-0.051,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-164.9,-0.051,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-164.8,-0.085,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-164.7,-0.084,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-164.6,-0.085,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-164.5,-0.052,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-164.4,-0.052,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-164.3,-0.05,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-164.2,-0.082,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-164.1,-0.054,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-164.0,-0.051,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-163.9,-0.051,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-163.8,-0.083,-0.074,0.0,57.0,0.09999999999999432,273.15,0.57
-163.7,-0.051,-0.072,0.0,51.5,0.10000000000002274,273.15,0.515
-163.6,-0.052,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-163.5,-0.056,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-163.4,-0.051,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-163.3,-0.083,-0.075,0.0,57.0,0.09999999999999432,273.15,0.57
-163.2,-0.082,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-163.1,-0.086,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-163.0,-0.085,-0.073,0.0,57.0,0.09999999999999432,273.15,0.57
-162.9,-0.081,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-162.8,-0.054,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-162.7,-0.081,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-162.6,-0.056,-0.074,0.0,51.5,0.09999999999999432,273.15,0.515
-162.5,-0.081,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-162.4,-0.052,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-162.3,-0.053,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-162.2,-0.081,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-162.1,-0.084,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-162.0,-0.055,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-161.9,-0.051,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-161.8,-0.049,-0.076,0.0,51.5,0.09999999999999432,273.15,0.515
-161.7,-0.053,-0.073,0.0,51.5,0.10000000000002274,273.15,0.515
-161.6,-0.08,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-161.5,-0.049,-0.076,0.0,51.5,0.09999999999999432,273.15,0.515
-161.4,-0.054,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-161.3,-0.085,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-161.2,-0.052,-0.074,0.0,51.5,0.10000000000002274,273.15,0.515
-161.1,-0.049,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-161.0,-0.048,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-160.9,-0.052,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-160.8,-0.084,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-160.7,-0.084,-0.071,0.0,57.0,0.10000000000002274,273.15,0.57
-160.6,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-160.5,-0.052,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-160.4,-0.052,-0.071,0.0,51.5,0.09999999999999432,273.15,0.515
-160.3,-0.05,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-160.2,-0.053,-0.072,0.0,51.5,0.10000000000002274,273.15,0.515
-160.1,-0.083,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-160.0,-0.053,-0.072,0.0,51.5,0.09999999999999432,273.15,0.515
-159.9,-0.053,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-159.8,-0.085,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-159.7,-0.05,-0.073,0.0,51.5,0.10000000000002274,273.15,0.515
-159.6,-0.052,-0.073,0.0,51.5,0.09999999999999432,273.15,0.515
-159.5,-0.083,-0.072,0.0,57.0,0.09999999999999432,273.15,0.57
-159.4,-0.087,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-159.3,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-159.2,-0.084,-0.072,0.0,57.0,0.10000000000002274,273.15,0.57
-159.1,-0.089,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-159.0,-0.054,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-158.9,-0.088,-0.071,0.0,57.0,0.09999999999999432,273.15,0.57
-158.8,-0.05,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-158.7,-0.05,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-158.6,-0.085,-0.07,0.0,57.0,0.09999999999999432,273.15,0.57
-158.5,-0.052,-0.081,0.0,51.5,0.09999999999999432,273.15,0.515
-158.4,-0.051,-0.077,0.0,51.5,0.09999999999999432,273.15,0.515
-158.3,-0.052,-0.077,0.0,51.5,0.09999999999999432,273.15,0.515
-158.2,-0.053,-0.082,0.0,51.5,0.10000000000002274,273.15,0.515
-158.1,-0.054,-0.079,0.0,51.5,0.09999999999999432,273.15,0.515
